MEGA_NM,SCHOOL_NM,위도,경도,ADDRESS,LAW_DONG,LAW_DONG_CODE,ADMINI_GU,ADMINI_DONG,ADMINI_DISTRICT_CODE,SCHOOL_ID
서울특별시,숭실대학교,37.49641349,126.9573188,대한민국 서울특별시 동작구 상도로 369,상도동,1159010200,동작구,상도제2동,11590540,17
서울특별시,숭실대학교,37.49641349,126.9573188,대한민국 서울특별시 동작구 상도로 369,상도동,1159010200,동작구,상도제3동,11590550,17
서울특별시,숭실대학교,37.49641349,126.9573188,대한민국 서울특별시 동작구 상도로 369,상도동,1159010200,동작구,상도제4동,11590560,17
서울특별시,이화여자대학교,37.56190774,126.9468435,대한민국 서울특별시 서대문구 대현동 산11-1,대현동,1141011200,서대문구,신촌동,11410585,18
서울특별시,적십자간호대학,37.5675506,126.9665057,대한민국 서울특별시 종로구 평동 85-16,평동,1111017700,종로구,교남동,11110580,19
서울특별시,추계예술대학교,37.56278619,126.9534301,대한민국 서울특별시 서대문구 북아현로11가길 7,북아현동,1141011000,서대문구,북아현동,11410555,20
서울특별시,추계예술대학교,37.56278619,126.9534301,대한민국 서울특별시 서대문구 북아현로11가길 7,북아현동,1141011000,서대문구,충현동,11410565,20
서울특별시,한국성서대학교,37.64888321,127.0644352,대한민국 서울특별시 노원구 상계동 205번지 한국성서대학교 도서관지하1층,상계동,1135010500,노원구,상계10동,11350720,21
서울특별시,한국성서대학교,37.64888321,127.0644352,대한민국 서울특별시 노원구 상계동 205번지 한국성서대학교 도서관지하1층,상계동,1135010500,노원구,상계1동,11350630,21
서울특별시,한국성서대학교,37.64888321,127.0644352,대한민국 서울특별시 노원구 상계동 205번지 한국성서대학교 도서관지하1층,상계동,1135010500,노원구,상계2동,11350640,21
서울특별시,한국성서대학교,37.64888321,127.0644352,대한민국 서울특별시 노원구 상계동 205번지 한국성서대학교 도서관지하1층,상계동,1135010500,노원구,상계3.4동,11350665,21
서울특별시,한국성서대학교,37.64888321,127.0644352,대한민국 서울특별시 노원구 상계동 205번지 한국성서대학교 도서관지하1층,상계동,1135010500,노원구,상계5동,11350670,21
서울특별시,한국성서대학교,37.64888321,127.0644352,대한민국 서울특별시 노원구 상계동 205번지 한국성서대학교 도서관지하1층,상계동,1135010500,노원구,상계6.7동,11350695,21
서울특별시,한국성서대학교,37.64888321,127.0644352,대한민국 서울특별시 노원구 상계동 205번지 한국성서대학교 도서관지하1층,상계동,1135010500,노원구,상계8동,11350700,21
서울특별시,한국성서대학교,37.64888321,127.0644352,대한민국 서울특별시 노원구 상계동 205번지 한국성서대학교 도서관지하1층,상계동,1135010500,노원구,상계9동,11350710,21
서울특별시,한국성서대학교,37.64888321,127.0644352,대한민국 서울특별시 노원구 상계동 205번지 한국성서대학교 도서관지하1층,상계동,1135010500,노원구,중계4동,11350624,21
서울특별시,한국예술종합학교,37.60509957,127.0562284,대한민국 서울특별시 성북구 석관동 산1-5번지,석관동,1129013900,성북구,석관동,11290810,22
서울특별시,한국체육대학교,37.51956933,127.1311311,대한민국 서울특별시 송파구 방이동 88-15,방이동,1171011100,송파구,방이1동,11710561,23
서울특별시,한국체육대학교,37.51956933,127.1311311,대한민국 서울특별시 송파구 방이동 88-15,방이동,1171011100,송파구,방이2동,11710562,23
서울특별시,한국체육대학교,37.51956933,127.1311311,대한민국 서울특별시 송파구 방이동 88-15,방이동,1171011100,송파구,오륜동,11710566,23
서울특별시,한국폴리텍I대학서울강서캠퍼스,37.55056847,126.8432477,대한민국 서울특별시 강서구 화곡동 산60-1,화곡동,1150010300,강서구,우장산동,11500615,24
서울특별시,한국폴리텍I대학서울강서캠퍼스,37.55056847,126.8432477,대한민국 서울특별시 강서구 화곡동 산60-1,화곡동,1150010300,강서구,화곡본동,11500590,24
서울특별시,한국폴리텍I대학서울강서캠퍼스,37.55056847,126.8432477,대한민국 서울특별시 강서구 화곡동 산60-1,화곡동,1150010300,강서구,화곡제1동,11500540,24
서울특별시,한국폴리텍I대학서울강서캠퍼스,37.55056847,126.8432477,대한민국 서울특별시 강서구 화곡동 산60-1,화곡동,1150010300,강서구,화곡제2동,11500550,24
서울특별시,한국폴리텍I대학서울강서캠퍼스,37.55056847,126.8432477,대한민국 서울특별시 강서구 화곡동 산60-1,화곡동,1150010300,강서구,화곡제3동,11500560,24
서울특별시,한국폴리텍I대학서울강서캠퍼스,37.55056847,126.8432477,대한민국 서울특별시 강서구 화곡동 산60-1,화곡동,1150010300,강서구,화곡제4동,11500570,24
서울특별시,한국폴리텍I대학서울강서캠퍼스,37.55056847,126.8432477,대한민국 서울특별시 강서구 화곡동 산60-1,화곡동,1150010300,강서구,화곡제6동,11500591,24
서울특별시,한국폴리텍I대학서울강서캠퍼스,37.55056847,126.8432477,대한민국 서울특별시 강서구 화곡동 산60-1,화곡동,1150010300,강서구,화곡제8동,11500593,24
서울특별시,한국폴리텍I대학서울정수캠퍼스,37.52913745,126.9966551,대한민국 서울특별시 용산구 보광동 238-2,보광동,1117013600,용산구,보광동,11170700,25
서울특별시,한양대학교,37.55593564,127.044647,대한민국 서울특별시 성동구 왕십리로 222,사근동,1120010600,성동구,사근동,11200550,26
서울특별시,한양여자대학,37.55846478,127.0498892,대한민국 서울특별시 성동구 사근동 126-70,사근동,1120010600,성동구,사근동,11200550,27
서울특별시,고려사이버대학교,37.58684705,126.9868805,대한민국 서울특별시 종로구 북촌로 106,계동,1111014800,종로구,가회동,11110600,28
서울특별시,명지전문대학,37.58439905,126.9249808,대한민국 서울특별시 서대문구 홍은동 356-1,홍은동,1141011800,서대문구,홍은제1동,11410660,29
서울특별시,명지전문대학,37.58439905,126.9249808,대한민국 서울특별시 서대문구 홍은동 356-1,홍은동,1141011800,서대문구,홍은제2동,11410685,29
서울특별시,사이버한국외국어대학교,37.59741206,127.0582845,대한민국 서울특별시 동대문구 이문로 107,이문동,1123011000,동대문구,이문제1동,11230740,30
서울특별시,사이버한국외국어대학교,37.59741206,127.0582845,대한민국 서울특별시 동대문구 이문로 107,이문동,1123011000,동대문구,이문제2동,11230750,30
서울특별시,서강대학교,37.55151668,126.9405613,대한민국 서울특별시 마포구 백범로 35,신수동,1144011100,마포구,대흥동,11440600,31
서울특별시,서강대학교,37.55151668,126.9405613,대한민국 서울특별시 마포구 백범로 35,신수동,1144011100,마포구,신수동,11440630,31
서울특별시,서울기독대학교,37.60077068,126.9121638,대한민국 서울특별시 은평구 신사동 1-19,신사동,1168010700,강남구,신사동,11680510,32
서울특별시,서울기독대학교,37.60077068,126.9121638,대한민국 서울특별시 은평구 신사동 1-19,신사동,1168010700,강남구,압구정동,11680545,32
서울특별시,서울기독대학교,37.60077068,126.9121638,대한민국 서울특별시 은평구 신사동 1-19,신사동,1138010900,은평구,신사제1동,11380631,32
서울특별시,서울기독대학교,37.60077068,126.9121638,대한민국 서울특별시 은평구 신사동 1-19,신사동,1138010900,은평구,신사제2동,11380632,32
서울특별시,성공회대학교,37.48744281,126.8259817,대한민국 서울특별시 구로구 항동 1-1,항동,1153011200,구로구,오류2동,11530780,33
서울특별시,정석대학,37.54749385,126.81394,대한민국 서울특별시 강서구 공항동 1370-10,공항동,1150010800,강서구,공항동,11500620,34
서울특별시,중앙대학교,37.50439082,126.9566425,대한민국 서울특별시 동작구 흑석동 221,흑석동,1159010500,동작구,흑석동,11590605,35
서울특별시,총신대학교,37.48846656,126.9665997,대한민국 서울특별시 동작구 사당로 143,사당동,1159010700,동작구,사당제1동,11590620,36
서울특별시,총신대학교,37.48846656,126.9665997,대한민국 서울특별시 동작구 사당로 143,사당동,1159010700,동작구,사당제2동,11590630,36
서울특별시,총신대학교,37.48846656,126.9665997,대한민국 서울특별시 동작구 사당로 143,사당동,1159010700,동작구,사당제3동,11590640,36
서울특별시,총신대학교,37.48846656,126.9665997,대한민국 서울특별시 동작구 사당로 143,사당동,1159010700,동작구,사당제4동,11590650,36
서울특별시,총신대학교,37.48846656,126.9665997,대한민국 서울특별시 동작구 사당로 143,사당동,1159010700,동작구,사당제5동,11590651,36
